;link;categoria;texto
0;http://g1.globo.com/sp/sao-carlos-regiao/noticia/2016/12/calor-diminui-produtividade-e-afeta-safra-de-laranja-aponta-fundecitrus.html;agro;fundo defesa citricultura fundecitrus araraquara sp divulgou nesta segundafeira estimativa queda safra laranja excesso calor setembro outubro afetou desenvolvimento frutos diminuiu produtividade pomares devem ser colhidas milhões caixas número é menor relação divulgado setembro milhões caixas comparado estimativa inicial publicada maio milhões caixas segundo fundecitrus safra laranja deve ter queda comparação ano passado vai ser menor últimos anos laranjeiras florescimento exuberante bom cerca dias temperaturas atingiram patamares elevados queda frutos intensa diminuindo produtividade laranjeiras reduzindo safra sensivelmente disse juliano ayres gerente fundecitrus produção menor fazenda descalvado sp mil pés laranja produção diminuiu devo produzir aproximadamente mil caixas hectares portanto mil caixas hectare é queda relação ano passado disse citricultor roberto jank oferta menor dólar valorizado preço caixa quilos subiu pomar custo produção é torno r caixa gente recebendo r r reais caixa reclamar motivo ruim é escassez fruta ajuda ninguém produtor consumidor indústria então momento bom conta situação ruim é escassez fruta disse revisão segundo fundecitrus revisão safra menor devese adequação fator correção calcula desvios safra atualizado anteriormente fator utilizado levava consideração média últimos dez anos necessitou ser revisado adequar realidade atual pomares levandose consideração manejo hlb vem alterando configuração pomares eliminação árvores doentes substituição mudas sadias resultando formação subconjuntos plantas novas produtividade menor plantio original talhão impacto desses subconjuntos é significativo safra atual baixa produtividade visto plantas jovens menor pegamento frutos pesquisa estimativa safra é realizada fundecitrus cooperação markestrat fearpusp fcavunesp relatório completo disponível internet
1;http://g1.globo.com/sp/piracicaba-regiao/noticia/2016/12/usp-de-piracicaba-ira-realizar-feira-semelhante-agrishow-em-2017.html;agro;universidade paulo usp piracicabasp anunciou irá realizar ano vem evento semelhante maior feira agronegócio país agrishow ribeirão preto sp batizada esalqshow feira objetivo conectar setor produtivo academia dando visibilidade projetos inovação serviços oferecidos escola superior agricultura luiz queiroz esalqusp segundo universidade evento irá ouvir demanda mercado setor inovação tecnológica projeto vai acomodar vários eventos acontecerão outubro durante programação semana luiz queiroz feira estruturada três pilares vitrine esalq espaço inovar esalq cia agtech valley summit visita campus luiz queiroz reitor usp marco antonio zago acompanhou lançamento esalqshow útlima quartafeira destacou relevância iniciativa certamente momento festa celebração voltada conhecimento iniciativa tende prosperar movimentar mercado usp precisa ações permitem diálogo pleno sociedade esalqshow realizada parceria mesma empresa responsável agrishow maiores feiras negócio setor programação vitrine esalq exposições apresentações projetos serviços excelência disponibilizados sociedade mercado espaço inovar esalq cia apresentações trabalhos inovação tecnológica préselecionados desenvolvidos esalq região agtech valley vale piracicaba neste espaço painel apresentação institutos pesquisa empresas ligadas agronegócio intuito estimular intensificar promoção tecnologias inovação esalqnovitas evento premiação pesquisas registros patentes prêmio empreendetec premiação profissionais empresas agtech valley destacaram fomento empreendedorismo tecnológico agtech valley summit evento técnicocientífico finalidade levantar problemas dentro tema específico escolhido cada edição envolvendo academia nacional internacional abordando necessidades formação futuro profissional tema destaque
2;http://g1.globo.com/economia/agronegocios/noticia/exportadores-de-carne-bovina-do-projetam-leve-recuperacao-em-2017.ghtml;agro;exportações carne bovina brasil deverão crescer milhão toneladas após ficarem estagnadas milhão toneladas estimou nesta segundafeira associação indústrias exportadoras abiec patamar milhão toneladas havia sido alcançado volume milhão toneladas ano atrás abiec havia estimado embarques deveriam crescer volumes ficaram estáveis devido dificuldades vendas egito rússia irã venezuela países vivem diferentes crises políticas econômicas faturamento previsão é us bilhões ante us bilhões bilhões entidade espera número países comprando carne bovina brasil cresça ante devido perspectiva abertura novos mercados coreia sul taiwan indonésia canadá méxico japão além disso ano exportações estados unidos deverão ser destaque após abertura negócios carne in natura meados
3;http://g1.globo.com/economia/midia-e-marketing/noticia/mcdonalds-tera-salada-com-vegetais-organicos-no-brasil-em-2017.ghtml;agro;mcdonalds saladas compostas vegetais orgânicos alguns restaurantes rede brasil partir primeiro trimestre informou pouco operadora rede américa latina arcos dorados broadcast agro segundo companhia empresa primeira segmento serviço rápido alimentação adotar iniciativa novidade chegará poucos consumidores começando capital paulista medida fornecedores conseguirem ampliar produção rede intenção aumentar distribuição produtos gradativamente restaurantes todo país produção vegetais orgânicos é passo inovador vai envolver fomento agricultura familiar algo fundamental desenvolvimento sustentável setor disse nota paulo camargo presidente divisão brasil arcos dorados salada orgânica faz parte grupo iniciativas sustentáveis marca brasil anunciou exemplo compra carne verificada proveniente regiões práticas sustentáveis fornecedores carne suína devem limitar uso celas gestação utilizar somente sistema criadouros coletivos recentemente companhia informou comprará apenas ovos galinhas livres gaiola partir comprará proteínas fornecedores utilizam antibiótico promover crescimento animais
4;http://g1.globo.com/sp/sao-carlos-regiao/noticia/2016/12/embrapa-usa-homeopatia-para-evitar-mortes-de-bezerros-por-diarreia.html;agro;utilizando substâncias homeopáticas pesquisadores embrapa pecuária sudeste carlos sp conseguiram bons resultados diminuir principais causas morte bezerros diarreia produto natural deve diminuir custos antibióticos seis meses estudo ideia testar forma evitar diarreia comum animais mortes ocorrem dentro sistema bezerros dias é conta diarreia então é problema sério deve ser evitado explicou veterinária embrapa teresa cristina alves substância pó misturada leite vaca todo bezerros participaram testes três grupos primeiro animais receberam apenas leite comum segundo filhotes amamentados fórmula homeopática terceiro grupo pesquisadores deram leite misturado tipo minério resultados mostraram homeopatia ajudou gente cerca animais apresentaram diarreia todos outros grupos todos animais menos episódio diarreia dentro período experimento contou veterinária substância saudável produto homeopático é feito base substancias encontradas folhas sementes casca árvores segundo pesquisadores leite especial dispensa uso antibióticos é principal vantagem porque medicamentos tradicionais podem trazer muitos riscos gente usa muitos antibióticos nessa fase bezerros precisa utilizar novo bactéria ficou resistente droga caso vacas produzindo leite existe risco resíduos nesse subproduto desses animais pode ser problema saúde pública compromete qualidade alimento saúde animais disse bióloga ana carolina souza chagas economia outra vantagem é custo relação antibióticos pesquisadores economizaram r bezerro usando fórmula homeopática caminho bastante interessante ser seguido porque garante qualidade alimento saúde animais disse bióloga
5;http://g1.globo.com/economia/agronegocios/noticia/fao-indice-de-precos-de-alimentos-recua-04-em-novembro-pressionado-por-acucar.ghtml;agro;índice preços alimentos organização nações unidas agricultura alimentação fao recuou novembro ante outubro pontos apesar retração indicador continua acima comparação igual mês ano passado leve queda mensal ocorre após quase ano valorizações constantes índice desempenho novembro pressionado queda acentuada preços açúcar cobriu forte recuperação óleos vegetais índice preço açúcar fechou pontos novembro queda pontos comparação outubro primeiro recuo após seis meses desempenho negativo pressionado enfraquecimento real relação dólar estimula exportações brasileiras alimento mesma direção preço cereais recuou ante outubro comparação novembro pontos fortalecimento dólar amplos estoques contribuíram viés baixista persiste mercados cereais além disso boas perspectivas colheita argentina austrália pesaram sobre cotações preço internacional carnes encerrou estável ante outubro pontos baixos preços carne ovina suína frango contrabalançados aumento cotações carne bovina última sustentada queda estoques domésticos austrália contramão índice lácteos subiu pontos ante outubro pontos cotações avançaram principalmente leite pó integral wmp manteiga demanda firme oriente médio norte áfrica além china combinada disponibilidade limitada nova zelândia principal fornecedor mundial levou preços wmp saltarem liderando altas óleos vegetais subiram pontos ante outubro pontos novembro nível alto desde agosto movimento sustentado principalmente óleo palma cujos preços subiram rapidamente diante produção menor sudeste ásia estimativa estoques apertados
6;http://g1.globo.com/sp/piracicaba-regiao/noticia/2016/12/piracicaba-tem-38-das-startups-de-agronegocio-do-estado-de-sao-paulo.html;agro;censo realizado agtech valley incubadora empreendimentos novas tecnologias sediada escola superior agricultura luiz queiroz esalq universidade paulo usp indica piracicaba sp concentra startups estado paulo voltadas agronegócio acordo levantamento agtech valley apelidado vale silício agronegócio país startups desenvolvem tecnologias voltadas campo desse total ficam estado sp piracicaba cidade startups relacionadas universo agro minas gerais paraná sete restante empresas tecnologicas distribuídas outros estados brasil usina inovação área antiga usina açúcar bairro histórico monte alegre piracicaba deverá tornar espaço empresarial voltado agronegócio partir fevereiro investimento r milhões iniciativa privada projeto usina inovação prevê criação local realização pesquisas desenvolvimento tecnologias setor iniciativa reúne investidores estratégia transformar empreendimento área mil metros quadrados local multiuso integrado alto impacto evolução agronegócio segundo assessoria empresário wilson guidotti júnior balu encabeça projeto usina inovação contará coworking área trabalho compartilhada receberá eventos feiras shows lançamentos produtos hotel centro convenções complexo histórico restaurado
7;http://g1.globo.com/economia/agronegocios/noticia/temer-diz-a-agencia-que-vai-liberar-r-12-bilhoes-para-pre-custeio-da-safra-agricola.ghtml;agro;presidente michel temer afirmou nesta segundafeira entrevista agência reuters anunciará próxima semana liberação r bilhões précusteio safra agrícola g apurou anúncio deve ocorrer nesta quinta financiamento objetivo ajudar produtores rurais adquirir insumos plantações início ano antes próxima safra produtos adquiridos verba sementes fertilizantes pesticidas máquinas agrícolas vamos injetar agricultura r bilhões plano présafra vai ser anunciado nesta semana semana vem afirmou presidente reuters recursos viabilizados meio linha crédito banco brasil sairão captações poupança rural depósito vista montante reservado governo federal précusteio safra agrícola deste ano é superior últimos dois anos executivo federal havia liberado r bilhões r bilhões respectivamente taxas cobradas produtores rurais plano présafra deste ano ainda anunciadas oficialmente ano passado financiamento r mil taxas ano r milhão ano mesma entrevista reuters temer informou nesta semana serviço brasileiro apoio micro pequenas empresas sebrae anunciará liberação r bilhão financiamento empresas deste segmento
8;http://g1.globo.com/economia/agronegocios/noticia/em-novembro-ibge-preve-safra-142-maior-para-2017.ghtml;agro;segunda previsão instituto brasileiro geografia estatística ibge safra aponta produção cereais leguminosas oleaginosas milhões toneladas acima safra produtos maior importância próxima safra verão apenas produto apresenta variação negativa produção relação amendoim casca safra demais apresentam variações positivas produção algodão herbáceo caroço arroz casca feijão grão safra milho grão safra soja grão
9;http://g1.globo.com/espirito-santo/agronegocios/noticia/2016/12/bacia-do-santa-maria-tem-16-de-area-degradada-que-agrava-seca.html;agro;cima recortes imensos terra exposta mata vida rios água repletos bancos areia cenário encontrado sobrevoo equipe fez dia três novembro hoje chegada chuvas água voltou correr alguns rios significa cenário reverteu paisagem continua marcada degradação rios assoreamento espírito santo cerca cobertura florestal podese dizer área total estado é pasto parte considerável disso é pasto degradado acordo estudo feito centro desenvolvimento agronegócio cedagro bacia santa maria rio doce área degradação relativa quase é maior área degradação bacias estudadas seguida bacia rio guandu santa joana degradação deve fatores baixa cobertura florestal manejo inadequado áreas agrícolas elevada exposição solo conta baixa cobertura florestal relevo alta declividade santa maria doce santa joana afluentes rio doce nível degradação outros rios desaguam lá contribuem situação atual rio doce é resultado processo histórico processo iniciou épocas diferentes cada local estado engenheiro agrônomo especialista recursos hídricos henrique lobo explica final século xix início século xx desmatamento algumas áreas iniciou chegada imigrantes europeus precisavam espaço montar colônia espírito santo principalmente região montanhas desmatamento menor famílias estabelecerem tempo começou introdução lavouras café região norte estado mata começou desaparecer durante ciclo década construção asfaltamento br durante anos grande parte florestas norte deu lugar pastagens nessa época cultura outra produtores precisavam abrir mata produzir estimulados década colocados cinco bois hectare pastagem hoje média é cabeça hectare atualmente bacia rio doce maior principal estado apenas floresta nativa mata atlântica henrique lobo afirma é bacias degradadas sudeste podese dizer brasil paulo macarini agricultor colatina vivenciou processo relembra mentalidade época coisa linda arrancar plantar hoje pensamento é outro viveu ensinou importância mata continuidade agricultura seca veio forma tão intensa obrigou paulo arrancar seis mil pés café quase metade cafezal situação chegou ponto agricultor pensou pudesse ficar água beber nunca esperava coisa dessas coisa difícil gente viu vida anos vou fazer agora janeiro nunca vi vida secar córregos açude seco agora reflete força estiagem sentida relação direta modo ocupação aconteceu passado né ser humano cortando mata derrubando árvore achava nunca vinha pra tá entendendo talvez podia vir filhos gente netos todo mundo geralmente pensava fala paulo área agrícola estadual é degradada equivale hectares pastagem corresponde maior parte dessa área hectares seguida vem café hectares dado mesma pesquisa feita cedagro estudo conceitua solo degradado solo camada superficial local onde concentram nutrientes matéria orgânica parcialmente completamente removida compactada forma prejudique atividades agrícolas região estado maior área agrícola degradada relação área total região é noroeste realidade bem conhecida césar santos carvalho engenheiro florestal extensionista incaper colatina reforça chuva caído vai reverter situação chegou ponto ocasionada práticas extrativistas antigas verdade percebendo é seca vai hibernar período voltar próximos anos devido estágio bacia hidrográfica encontra estágio conservação água é baixo práticas extrativistas ainda fortes colocando solo exposto nível erosão grande degradação grande perdendo muita água destaca engenheiro acredita é problema ambiental degradação solo níveis tão extremos pode levar desertificação leva cenário pobreza é tão urgente discuta especialista maior erro ainda consiste olhar terra acreditando fertilidade é infinita pensar plantar é preciso ter cuidado retornar solo é tirado existem medidas relativamente simples produtor rural pode tomar diminuir impacto adoção caixas secas tecnologia usada ajudar reter água infiltrar água solo evitar capina ação agride solo escolher local ideal fazer estrada rural contribuir deslocamento terra fazer represas pontos estratégicos preservar mata dando atenção especial áreas recarga hídrica fazer planejamento produção forma sustentável entender onde mata passou café solo empobreceu chegou capim hoje capim saindo é consequência explica césar falando sobre uso inadequado solo cuidados diretamente relacionados ciclo hidrológico solo pobre compactado cobertura vegetal capacidade absorção água drasticamente reduzida césar explica solo é reservatório natural água água infiltra água nascentes rios partir momento produtor entende água infiltra terreno é água alimenta córrego pensa conter escoamento superficial explica especialista outro problema proveniente degradação solo é formação grandes bancos areia rios principalmente nesta época seca solo desprotegido época chuvas terra desliza cursos água faz aconteça assoreamento rios cobertura vegetal papel reter água diminuir velocidade evitando assim erosão solo acúmulo sedimentos cursos água além desse grave problema ocasionado uso inadequado solo entender cenário atual devese considerar vários outros fatores potencializam situação degradação solo é única causa situação atual trouxe vai continuar trazendo tantos impactos campo cidade é complexa professor ifes abrahão elesbon doutor engenharia agrícola resume cinco principais questões relacionadas problema ressalta apenas primeira é causada homem primeiro fator é evento climatológico falta água fortes estiagens história seguida aumento consumo demanda crescente água comida terceiro motivo é uso inadequado solo bacia teoria época chuva água deveria infiltrar solo ciclo hidrológico continuasse época estiagem acontece causa alta degradação outro motivo é qualidade água considerando várias formas poluição produtos químicos esgoto último igualmente importante degradação socioambiental população potencializa uso inadequado recursos naturais dentro dessas causas professor aponta alguns números impactantes demonstram sociedade necessita transformação radical modo lida recursos naturais exemplo quase municípios formam bacia rio doce apenas oito tratam esgoto restante joga resíduo direto rios animais fazem necessidades água tomam seres humanos deveríamos ser racionais fazemos é algo é admissível diz abrahão irrigação é forma simular chuva artificial é preciso ter conhecimento fornecer planta apenas precisa desenvolvimento campo cidade é necessário é usar crise forma reflexão implementar mudança efetiva relação recursos naturais especialistas previam chegada momento história apontou caminho mim é tragédia anunciada anos gente profissionalmente vem sendo forjado nessa área cenário esperado nada estranho podemos voltar ter chuvas regulares demanda água continuar nesse nível vai continuar faltando água chegar época seca conflitos surgem novamente rios vão secar novamente afirma césar
